Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Buckfastleigh,BUK,A,A38/A384,171,50 29.253N 003 46.128W,,15,NE,Plymouth,27462 06680,BUK,BUK
Bullington,BUL,A,A303 br over A34,249,51 10.506N 001 20.336W,,11,WSW,Lasham,44631 14197,BUL,BUL
Bungay,BUN,A,A143/B1332,118,52 27.832N 001 26.509E,,12,SSE,Norwich,63390 29067,BUN,BUN
Burton upon Stather,BUS,B#,T-junction,197,53 38.972N 000 41.089W,,6,E,York,48703 41781,BUS,BUS
Butser Hill,BUT,C,150 ft Mast,886,50 58.633N 000 58.916W,,13,S,Lasham,47157 12025,BUT,BUT
Buxton,BUX,B#,Bridge,820,53 15.569N 001 54.438W,,23,NW,Derby,40628 37361,BUX,BUX
Beauly,BUY,A,Rail Br over River,33,57 28.563N 004 27.748W,,7,W,Inverness,25244 84554,BUY,BUY
Belvoir,BVR,B,Bridge over Castle Lake,138,52 53.247N 000 46.038W,,5,W,Grantham,48304 33293,BVR,BVR
Bovington,BVT,D#,Club Hangar,205,50 42.732N 002 13.297W,129.980,26,SW,Salisbury,38445 09031,BVT,BVT
Bridgwater E,BWE,A,M5/A372,20,51 07.433N 002 58.236W,,28,SW,Bath,33217 13651,BWE,BWE
Bwlch,BWL,C,A490/A495,187,52 44.337N 003 12.284W,,17,W,Shrewsbury,31876 31638,BWL,BWL
Candover Church,CAC,C,Church Spire,518,51 10.193N 001 08.008W,,4,WSW,Lasham,46068 14154,CAC,CAC
Callander,CAD,A,A81/River Bridge,36,56 14.576N 004 13.045W,,11,NW,Stirling,26268 70781,CAD,CAD
Canterbury East,CAE,C,Bekesbourne Station,279,51 15.694N 001 08.168E,,2.5,ESE,Canterbury,61890 15605,CAE,CAE
Castle Howard,CAH,C,"House, central dome",148,54 07.292N 000 54.305W,,11,NNE,York,47166 47007,CAH,CAH
Cairnwell,CAI,C,Hill Top,3061,56 52.784N 003 25.259W,,46,WSW,Aberdeen,31350 77738,CAI,CAI
Calvert Rail Junction,CAL,C,Bridge W side of Rail Junction,279,51 55.471N 001 00.693W,,13,NE,Oxford,46807 22557,CAL,CAL
Cannock,CAN,A,M6 J12/A5,266,52 41.341N 002 06.211W,,22,E,Shrewsbury,39310 31015,CAN,CAN
Canonbie,CAO,B,River Bridge/B6357,230,55 04.794N 002 56.932W,,10,N,Carlisle,33952 57657,CAO,CAO
Carlton Moor,CAR,D,Old hangar,1200,54 24.488N 001 12.115W,,27,N,York,45190 50170,CAR,CAR
Cambridge South,CAS,A#!,Rail Fork,95,52 09.395N 000 08.118E,,3,S,Cambridge,54617 25307,CAS,CAS
Canterbury,CAT,B,Cathedral Main Twr,282,51 16.788N 001 04.973E,,0,N/A,Canterbury,61510 15792,CAT,CAT
Caxton Gibbet,CAX,A,A45/A1198 R'bout,220,52 13.719N 000 06.215W,,10,W,Cambridge,52962 26063,CAX,CAX
Carter Bar,CBA,A,A68/A6088,1310,55 21.346N 002 29.062W,,29,SW,Berwick,36939 60697,CBA,CBA
Conisbrough Castle,CBC,B,Castle keep,98,53 29.064N 001 13.545W,,6,WSW,Doncaster,45148 39891,CBC,CBC
Creagan Bridge,CBG,A,Bridge,40,56 32.839N 005 17.473W,,10,NE,Oban,19778 74433,CBG,CBG
Carisbrooke Castle,CBK,C,Tower,262,50 41.272N 001 18.774W,,12,SW,Portsmouth,44863 08780,CBK,CBK
Chilbolton,CBN,B,Radio Telescope Dish,292,51 08.702N 001 26.289W,,15,WSW,Lasham,43940 13857,CBN,CBN
Carrbridge,CBR,A,Spey Bridge,876,57 17.027N 003 48.966W,,17,SE,Inverness,29062 82292,CBR,CBR
Catacol Bridge,CCB,C,A841 (C147) River Bridge,10,55 41.350N 005 19.600W,,37,W,Glasgow,19100 64898,CCB,CCB
Carreg Cennen Castle,CCC,D,Centre of Ruined Castle,725,51 51.263N 003 56.118W,,13,N,Swansea,26681 21908,CCC,CCC
Castle Combe,CCH,D,Church Tower,272,51 29.603N 002 13.785W,,8,NE,Bath,38415 17719,CCH,CCH
Castle Carrock Dam NW,CCK,A,W side of dam wall north end of water,540,54 53.250N 002 42.743W,,8,E,Carlisle,35440 55498,CCK,CCK
Crickhowell,CCL,A,Bridge,226,51 51.383N 003 08.512W,,19,SW,Hereford,32146 21815,CCL,CCL
Clay Cross Reservoir,CCR,A,B6014 E end Reservoir Causeway,243,53 08.624N 001 26.871W,,15,N,Derby,43703 36087,CCR,CCR
Cadbury Cross,CCX,D,A3072 crossroads,617,50 50.211N 003 33.154W,,7,NNW,Exeter,29077 10530,CCX,CCX
Cromdale Spey Bridge,CDB,B,Spey Bridge,581,57 20.483N 003 33.215W,,22,ESE,Inverness,30659 82894,CDB,CDB
Cader Idris,CDI,A,Spot Height 2930ft,2930,52 41.973N 003 54.529W,,41,W,Shrewsbury,27111 31303,CDI,CDI
Clodock,CDK,C#,T-Junction,410,51 56.517N 002 58.917W,,28,WNW,Gloucester,33260 22751,CDK,CDK
Castle Douglas SW,CDO,A,A75/B736 R=bout,170,54 55.820N 003 57.098W,,14,SW,Dumfries,27504 56126,CDO,CDO
Clattershaws Dam S,CDS,A,Bridge,510,55 02.984N 004 16.645W,,22,W,Dumfries,25460 57518,CDS,CDS
Coldwaltham,CDW,B,Road/Rail Bridge,38,50 56.628N 000 32.048W,,17,WNW,Brighton,50308 11706,CDW,CDW
Cerne Abbas,CER,C,A352/Road crossing,256,50 48.474N 002 28.882W,,10,SE,Yeovil,36618 10104,CER,CER
Cowes,CES,C,Crossroads,10,50 45.464N 001 17.303W,,10,WSW,Portsmouth,45029 09559,CES,CES
Chollerford Bridge,CFB,A,B6318 Br over R North Tyne,200,55 01.760N 002 07.629W,,17,W,Newcastle,39197 57054,CFB,CFB
Crieff,CFF,A,A822/River Bridge,59,56 21.983N 003 51.122W,,12,W,Perth,28569 72088,CFF,CFF
Chalford North,CFN,D,Crossroads,660,51 44.159N 002 09.460W,,10,SSW,Cheltenham,38921 20415,CFN,CFN
Corgarf,CGF,D,Castle centre,1165,57 09.775N 003 14.054W,,36,W,Aberdeen,32545 80868,CGF,CGF
Craigellachie,CGI,B,Spey Bridge,344,57 29.467N 003 11.674W,,14,S,Lossiemouth,32849 84517,CGI,CGI
Croglin,CGL,A,B6143 T-junction,655,54 49.057N 002 39.901W,,10,ESE,Carlisle,35736 54718,CGL,CGL
Cragganmore,CGN,B,Old Rail Bridge,460,57 24.835N 003 23.125W,,27,ESE,Inverness,31688 83680,CGN,CGN
Cherington,CGT,C,T junct,302,52 01.571N 001 34.573W,,8,WSW,Banbury,42917 23650,CGT,CGT
Chard,CHA,C,A30/A358,243,50 52.413N 002 57.677W,,14,WSW,Yeovil,33246 10867,CHA,CHA
Charlbury,CHB,C,B4437 Br over rail,433,51 52.384N 001 29.460W,,11,NW,Oxford,43514 21951,CHB,CHB
Chipping Campden,CHC,C,Church Twr,167,52 03.183N 001 46.505W,,16,W,Banbury,41552 23943,CHC,CHC
Chesterfield,CHD,C,Crooked Spire,220,53 14.172N 001 25.460W,,21,SW,Doncaster,43852 37117,CHD,CHD
Chedworth,CHE,C,R/W 21/Road Crossing,827,51 48.749N 001 56.577W,,7,SE,Cheltenham,40403 21265,CHE,CHE
Chichester W,CHI,A#,A27/B2146,50,50 50.946N 000 50.606W,,10,ENE,Portsmouth,48152 10615,CHI,CHI
Chirk,CHK,A,Rail Bridge/B4500,164,52 55.783N 003 03.836W,,15,NW,Shrewsbury,32858 33745,CHK,CHK
Charlton Mires,CHM,A,A1/B6347,289,55 28.730N 001 43.274W,,19,SE,Berwick,41772 62059,CHM,CHM
Chipping Norton,CHN,A,A3400/A361 R'bout,751,51 57.124N 001 31.484W,,10,SW,Banbury,43276 22828,CHN,CHN
Chorley West,CHO,A#,A581 bridge over M6,100,53 39.531N 002 41.471W,,23,S,Lancaster,35442 41826,CHO,CHO
Chipping,CHP,D#,Hangar,600,53 53.165N 002 37.242W,118.685,12,SSE,Lancaster,35930 44350,CHP,CHP
Charterhall Field,CHR,B,Runway intersection,350,55 42.438N 002 22.634W,,12,WSW,Berwick,37639 64605,CHR,CHR
Chelmsford S,CHS,A#!,A12/B1007,215,51 41.215N 000 27.917E,,35,NW,Canterbury,57051 20156,CHS,CHS
Chatteris,CHT,A#!,A141 roundabout,20,52 27.123N 000 02.342E,,10,ESE,Peterborough,53866 28574,CHT,CHT
Church Houses,CHU,D,"Crossroads, village centre",455,54 22.108N 000 58.290W,,25,N,York,46692 49748,CHU,CHU
Chieveley,CHV,A,M4 J13 Roundabout,361,51 27.156N 001 18.628W,,5,N,Newbury,44801 17285,CHV,CHV
Charwelton,CHW,C,Tower,230,52 12.170N 001 15.064W,,10,NNE,Banbury,45128 25633,CHW,CHW
Castle Island Laggan,CIL,B,Island,820,56 57.258N 004 28.284W,,21,ENE,Fort William,24980 78750,CIL,CIL
Cinderford,CIN,B,A4151/B4226,722,51 48.966N 002 29.485W,,17,SSE,Hereford,36622 21317,CIN,CIN
Cirencester Church,CIR,C,Church Tower,331,51 43.041N 001 58.078W,,12,NW,Swindon,40231 20207,CIR,CIR
Cirencester West,CIW,C,Y Junction,549,51 43.725N 002 04.625W,,10,S,Cheltenham,39477 20334,CIW,CIW
Chicklade,CKL,A,A350/A303,364,51 06.284N 002 09.956W,,13,W,Salisbury,38848 13395,CKL,CKL
Challock Chalk Pit,CL2,D#,NE Corner of Chalk Pit,460,51 12.343N 000 49.298E,,11,WSW,Canterbury,59720 14895,CL2,CL2
Challock East,CL3,D#,T junction,436,51 11.798N 000 50.428E,,9,WSW,Canterbury,59856 14799,CL3,CL3
Claydon,CLA,C,A45/B1113 R'bout,236,52 06.204N 001 06.453E,,4,NNW,Ipswich,61292 24956,CLA,CLA
Clacton E,CLC,A#,B1032/River,7,51 48.590N 001 12.284E,,15,S,Ipswich,62101 21721,CLC,CLC
Culdrose A/f,CLD,C##,R/Ws 30/25,267,50 05.190N 005 15.558W,134.050,46,SW,Plymouth,16695 02580,CLD,CLD
Clee,CLE,C,Hill Radar N Dome,1750,52 23.879N 002 35.817W,,19,NW,Worcester,35948 27794,CLE,CLE
Culmhead airfield,CLH,A,Centre of runway triangle,882,50 55.785N 003 07.707W,,5,SW,Taunton,32079 11508,CLH,CLH
Clitheroe,CLI,A,Rail Br over A59,330,53 53.912N 002 20.707W,,18,ESE,Lancaster,37742 44476,CLI,CLI
Challock,CLK,D#,Hangar,600,51 12.508N 000 49.840E,118.685,10,WSW,Canterbury,59782 14928,CLK,CLK
Carlisle,CLL,A#!,M6 J43/A69,295,54 53.709N 002 53.210W,,2,E,Carlisle,34322 55596,CLL,CLL
Chilham,CLM,A,A28/A252,89,51 14.661N 000 58.411E,,4,SW,Canterbury,60764 15367,CLM,CLM
Calne W,CLN,A,A4/A3102,256,51 26.397N 002 01.048W,,13,SW,Swindon,39888 17122,CLN,CLN
Clova,CLO,B,B955/River Bridge,787,56 50.506N 003 06.415W,,22,NNW,Dundee,33257 77280,CLO,CLO
Clyffe Pypard,CLP,D,Church,443,51 29.503N 001 53.649W,,6,SW,Swindon,40745 17698,CLP,CLP
Culmstock,CLS,C,Crossroads,320,50 54.842N 003 16.767W,,15,NE,Exeter,31015 11351,CLS,CLS
Corran Lighthouse,CLT,A,Lighthouse,15,56 43.245N 005 14.547W,,8,SW,Fort William,20169 76348,CLT,CLT
Clunas,CLU,A#,Water tower,771,57 29.401N 003 53.955W,,10,E,Inverness,28625 84601,CLU,CLU
Cleeve Hill,CLV,D#,View point on Cleeve Hill,1040,51 56.156N 002 01.320W,,4,NE,Cheltenham,39858 22638,CLV,CLV
Carloway,CLW,A,Bridge,30,58 16.967N 006 46.114W,,14,W,Stornoway,12059 94259,CLW,CLW
Callaly Castle,CLY,D,Centre of building,328,55 22.970N 001 55.110W,,24,S,Berwick,40526 60988,CLY,CLY
Cheltenham East,CME,C#!,Reservoir W,180,51 52.606N 002 01.131W,,2,E,Cheltenham,39880 21980,CME,CME
Carmodle,CML,D,Farmhouse,902,56 13.810N 003 35.328W,,11,SSW,Perth,30160 70532,CML,CML
Carmarthen,CMN,A,A48/River Bridge,282,51 51.099N 004 18.929W,,18,NW,Swansea,24062 21954,CMN,CMN
Cockermouth,CMO,A,A66br over B5289,325,54 38.931N 003 20.542W,,21,SW,Carlisle,31348 52902,CMO,CMO
Caerleon bridge,CNB,C,River bridge,30,51 36.433N 002 57.159W,,29,SSW,Hereford,33413 19025,CNB,CNB
Canterbury North East,CNE,B,A291/Rail,282,51 18.053N 001 07.330E,,2,NE,Canterbury,61774 16038,CNE,CNE
Connel,CNL,A#,Bridge/A85/A828,26,56 27.294N 005 23.461W,,3,NE,Oban,19114 73435,CNL,CNL
Corndon Hill,CNN,A,Trig Point,1683,52 33.944N 003 01.518W,,14,SW,Shrewsbury,33060 29693,CNN,CNN
Carno,CNO,A,Rail Bridge,584,52 33.971N 003 32.546W,,30,WSW,Shrewsbury,29555 29760,CNO,CNO
Chinnor,CNR,A,M40 J6/B4009,341,51 40.344N 000 57.665W,,11,SE,Oxford,47194 19758,CNR,CNR
Cirencester nw,CNW,A,A417 r'bout NW,322,51 44.973N 001 59.902W,,15,NW,Swindon,40021 20565,CNW,CNW
Conwy Bridge,CNY,A,A547 bridge,30,53 16.910N 003 49.251W,,32,W,Chester,27870 37764,CNY,CNY
Corby South,COB,A,A6003/A6014 Rbt,302,52 27.584N 000 44.222W,,14,NNE,Northampton,48591 28539,COB,COB
Colchester,COC,A,Rail/A120 Bridge,167,51 54.652N 000 57.382E,,14,SE,Ipswich,60344 22772,COC,COC
Coldstream,COD,A,River/A697,65,55 39.236N 002 14.492W,,10,SW,Berwick,38490 64007,COD,COD
Corwen NE,COE,G,GNSS point based on Lat/Long,985,53 01.000N 003 18.500W,,28,NW,Shrewsbury,31233 34739,COE,COE
Crocketford,COF,A,A715/A712,394,55 02.158N 003 49.738W,,8,WNW,Dumfries,28321 57280,COF,COF
Corby Glen,COG,A,A151/B1176,312,52 48.706N 000 31.123W,,7,SE,Grantham,49994 32483,COG,COG
Coldingham,COH,A,A1107/6358,245,55 53.137N 002 09.466W,,8,NW,Berwick,39023 66584,COH,COH
Cocking,COK,C,Church Tower,151,50 57.014N 000 44.969W,,17,SE,Lasham,48794 11750,COK,COK
Comrie,COM,B,B827/River Bridge,62,56 22.418N 003 59.237W,,18,W,Perth,27736 72192,COM,COM
Condover,CON,A,Rail/A49 Bridge,240,52 36.712N 002 46.093W,,6,S,Shrewsbury,34808 30184,CON,CON
Corby,COR,C,A427/A6116,315,52 29.368N 000 40.627W,,16,SE,Leicester,48992 28877,COR,COR
Cosford Junction,COS,A#,M54 J3/A41,253,52 39.519N 002 17.978W,,17,ESE,Shrewsbury,37983 30681,COS,COS
Colt Crag Reservoir,COT,A,Road Br over water,680,55 05.832N 002 07.087W,,18,WNW,Newcastle,39256 57809,COT,COT
Coupar Angus,COU,C,A94/A923,131,56 32.721N 003 16.054W,,10,NW,Dundee,32216 73998,COU,COU
Colchester West,COW,C,Road Br over Rail,203,51 52.875N 000 47.029E,,17,SW,Ipswich,59170 22396,COW,COW
Camphill start/finish south,CP1,A#,A623/B6465,787,53 16.631N 001 43.854W,,22,NNW,Derby,41804 37561,CP1,CP1
Camphill Chimney,CP2,A#,Cement works chimney,600,53 20.322N 001 45.230W,,25,NNW,Derby,41649 38245,CP2,CP2
Camphill,CPH,C#,Hangar,1350,53 18.303N 001 43.746W,129.980,25,NNW,Derby,41815 37871,CPH,CPH
Clapham Reservoir N,CPN,D,Bridge,655,54 07.424N 002 23.035W,,15,ENE,Lancaster,37501 46983,CPN,CPN
Chepstow S,CPS,A,M48 Roundabout,114,51 37.234N 002 40.379W,,29,S,Hereford,35351 19152,CPS,CPS
Chippenham W,CPW,A,A4/A350,197,51 26.856N 002 08.978W,,16,SW,Swindon,38970 17208,CPW,CPW
Cranwell North,CRA,C##,College Tower,220,53 02.218N 000 30.634W,129.980,11,S,Lincoln,49997 34989,CRA,CRA
Cranbrook,CRB,D,School West End,190,51 05.949N 000 31.561E,,14,N,Hastings,57696 13635,CRB,CRB
Crick,CRC,A,M1 J18/A428,276,52 21.043N 001 09.277W,,12,NW,Northampton,45768 27285,CRC,CRC
Cricklade,CRD,C,Church Tower,259,51 38.413N 001 51.448W,,5,NW,Swindon,40996 19350,CRD,CRD
Crediton Station,CRE,C,BR Station,315,50 46.990N 003 38.787W,,7,NW,Exeter,28403 09947,CRE,CRE
Crail,CRF,B,Crail Church,108,56 15.757N 002 37.545W,,30,SE,Dundee,36134 70797,CRF,CRF
Cerrig,CRG,C,A5/B5105,121,53 01.499N 003 33.722W,,35,NW,Shrewsbury,29533 34866,CRG,CRG
Crianlarich,CRI,C,Station,269,56 23.429N 004 37.115W,,28,E,Oban,23845 72510,CRI,CRI
Crewkerne,CRK,A,Stn/A356,207,50 52.435N 002 46.754W,,7,SW,Yeovil,34527 10856,CRK,CRK
Crowland A/f,CRL,D#,"A/F E end, by A1073",10,52 42.588N 000 08.400W,129.980,8,NNE,Peterborough,52576 31408,CRL,CRL
Crymych Mast,CRM,A,TV transmitter,1066,51 56.662N 004 39.659W,,32,WNW,Swansea,21720 23066,CRM,CRM
Crinan,CRN,B,Lighthouse,1,56 05.499N 005 33.311W,,20,S,Oban,17894 69446,CRN,CRN
Crowland Bridge,CRO,A,River/B1166,13,52 40.773N 000 11.011W,,6,NNE,Peterborough,52290 31064,CRO,CRO
Cromer Pier,CRP,A,Pier entrance,30,52 55.966N 001 18.051E,,18,N,Norwich,62194 34236,CRP,CRP
Carron,CRR,C,Spey Bridge,328,57 27.263N 003 17.652W,,15,S,Lossiemouth,32244 84119,CRR,CRR
Crediton West,CRW,A,Rail Fork,361,50 47.318N 003 44.417W,,9,WNW,Exeter,27743 10023,CRW,CRW
Cray Reservoir,CRY,A,W end of Dam Wall,817,51 53.130N 003 37.523W,,20,NE,Swansea,28823 22202,CRY,CRY
Chirnside,CSD,A,A6105/B6355,292,55 48.050N 002 13.144W,,7,W,Berwick,38637 65642,CSD,CSD
Canterbury South East,CSE,A,A2050 Bridge over A 2T,282,51 15.304N 001 06.791E,,2,SE,Canterbury,61733 15526,CSE,CSE
Cosford Airfield,CSF,A##,R/W 24 SW end,271,52 38.250N 002 18.741W,135.875,17,ESE,Shrewsbury,37896 30446,CSF,CSF
Crask Bridge,CSK,A,A836 river bridge,732,58 11.092N 004 30.700W,,26,NE,Ullapool,25242 92453,CSK,CSK
Coniston,CSN,B,Bridge,164,54 22.148N 003 04.552W,,20,NNW,Lancaster,33020 49760,CSN,CSN
Cross Hands,CSS,A,A48/A476,525,51 47.809N 004 05.003W,,10,NNW,Swansea,25643 21296,CSS,CSS
Colsterworth,CSW,A,A1/A151,262,52 48.082N 000 36.643W,,6,S,Grantham,49376 32355,CSW,CSW
Crathie Bridge,CTH,B,B976 Br over R Dee,885,57 02.373N 003 13.067W,,36,W,Aberdeen,32620 79493,CTH,CTH
Catterick,CTK,A,A6136 Br over A1,118,54 23.166N 001 39.285W,,9,SSW,Darlington,42252 49901,CTK,CTK
Clows Top,CTP,B,Crossroads,727,52 20.640N 002 25.248W,,12,NW,Worcester,37143 27185,CTP,CTP
Clunbury Hill,CU2,D,Circle in horse gallops,886,52 24.907N 002 55.145W,,18,S,Shrewsbury,33759 28008,CU2,CU2
Cullompton,CUL,A,M5 J28/A373,522,50 51.652N 003 23.016W,,10,NE,Exeter,30272 10773,CUL,CUL
Clun,CUN,A,A488/B4368,525,52 25.225N 003 01.819W,,20,SSW,Shrewsbury,33003 28077,CUN,CUN
Cupar,CUP,C,A91/A92,233,56 19.159N 003 00.723W,,9,S,Dundee,33750 71456,CUP,CUP
Currock Hill,CUR,D#,"Gliding Site, Centre",800,54 56.065N 001 50.456W,130.130,10,WSW,Newcastle,41029 55998,CUR,CUR
Craven Arms,CVN,B,B4368/Rail Br,279,52 26.375N 002 50.229W,,23,N,Hereford,34319 28273,CVN,CVN
Chipping Warden,CWA,C,R/Ws 24/36,256,52 08.722N 001 16.569W,,4,NNE,Banbury,44963 24992,CWA,CWA
Crowcombe Court,CWC,C#,Country House,482,51 07.503N 003 13.828W,,8,NW,Taunton,31399 13692,CWC,CWC
Crewe East,CWE,A,M6 J16,295,53 04.104N 002 20.020W,,27,NE,Shrewsbury,37774 35240,CWE,CWE
Corwen,CWN,A,A5/River Dee bridge,85,52 58.776N 003 23.257W,,28,NW,Shrewsbury,30693 34337,CWN,CWN
Cwmbran SW,CWS,A,Reservoir N side of dam wall,590,51 37.142N 003 04.424W,,27,SSW,Hereford,32576 19168,CWS,CWS
Chatsworth,CWT,A,Bridge,394,53 13.682N 001 36.980W,,19,N,Derby,42571 37018,CWT,CWT
Carsington Water Visitors Centre,CWV,A#,Visitors Centre.,673,53 03.661N 001 38.466W,,10,NNW,Derby,42415 35159,CWV,CWV
Conwy W,CWW,A,Penmaen-bach Point,15,53 17.354N 003 52.817W,,35,WNW,Chester,27476 37857,CWW,CWW
Conwy S,CWY,A,Bridge over R Conwy,20,53 13.750N 003 49.197W,,34,W,Chester,27861 37178,CWY,CWY
Dallachy,DAL,A,Intersection 29/22,33,57 39.437N 003 03.958W,,10,ESE,Lossiemouth,33649 86354,DAL,DAL
Dalmally,DAM,C,Station,141,56 24.050N 004 59.011W,,16,E,Oban,21598 72717,DAM,DAM
Danby,DAN,C,Road bridge over rail S side of village,475,54 27.953N 000 54.570W,,22,E,Darlington,47078 50838,DAN,DAN
Darlington,DAR,A,A67 Br over A1(M),256,54 31.405N 001 37.185W,,1,W,Darlington,42471 51430,DAR,DAR
Darwell,DAW,C,Reservoir SW end,187,50 57.619N 000 25.349E,,8,NW,Hastings,57022 12067,DAW,DAW
Dunblane,DBN,C,Station,105,56 11.164N 003 57.958W,,6,NW,Stirling,27808 70101,DBN,DBN
Devil's Bridge,DBR,A,Bridge,476,52 22.632N 003 50.979W,,42,N,Swansea,27419 27707,DBR,DBR
Diddlebury,DBY,C,Church Tower,397,52 27.852N 002 43.506W,,14,S,Shrewsbury,35083 28539,DBY,DBY
Didcot Rail Bridge,DCT,A,A4130/Railway Bridge,205,51 36.918N 001 15.467W,,8,S,Oxford,45149 19098,DCT,DCT
Devil's Dyke,DDK,D#,Hotel NE Corner,690,50 53.130N 000 12.718W,,4,NW,Brighton,52587 11108,DDK,DDK
Deal,DEA,B,A258/Rail,30,51 13.344N 001 23.931E,,11,ESE,Canterbury,63743 15252,DEA,DEA
Deddington,DED,A#,A4260/B4031,417,51 58.926N 001 19.383W,,4,S,Banbury,44659 23173,DED,DED
Denbigh,DEN,B,A525/A543 R'bt E,105,53 11.013N 003 23.831W,,18,W,Chester,30673 36607,DEN,DEN
Depden Water Tower,DEP,D,Water Tower,404,52 11.272N 000 35.122E,,15,E,Cambridge,57683 25755,DEP,DEP
Derwent,DER,A,Dam NE Side,82,54 51.622N 001 57.344W,,15,WSW,Newcastle,40294 55173,DER,DER
Detling,DET,C#,Church Spire,400,51 17.647N 000 34.113E,,3,NE,Maidstone,57918 15813,DET,DET
Devizes,DEV,C,A361 Br over Canal,387,51 21.252N 001 59.076W,,13,E,Bath,40117 16168,DEV,DEV
Duffield,DFF,C,B5023/River Br,194,53 00.464N 001 32.081W,,6,N,Derby,43132 34570,DFF,DFF
Dalton-in-Furness,DFU,A#,A590/A595,197,54 09.800N 003 11.335W,,14,NW,Lancaster,32247 47482,DFU,DFU
Dingwall,DIN,A,Rail/River Bridge,25,57 35.889N 004 25.271W,,10,NW,Inverness,25540 85904,DIN,DIN
Diss,DIS,A,Rail Bridge/A1066,171,52 22.221N 001 07.241E,,16,SSW,Norwich,61254 27928,DIS,DIS
Ditchlingbeacon,DIT,D,Car park entrance,770,50 54.049N 000 06.317W,,5,NNE,Brighton,53333 11297,DIT,DIT
Dunkeld,DKD,A,A923/River,197,56 33.823N 003 35.130W,,11,NNW,Perth,30266 74243,DKD,DKD
Dunkery Beacon,DKY,A,Trig Point,1704,51 09.767N 003 35.201W,,28,N,Exeter,28915 14159,DKY,DKY
Dale Bridge,DLB,B,B4327 bridge,164,51 43.847N 005 10.221W,,42,W,Swansea,18117 20832,DLB,DLB
Dallas,DLS,B,B9010 T Junction,325,57 33.562N 003 27.714W,,11,SW,Lossiemouth,31263 85308,DLS,DLS
Dalston,DLT,A#!,Bridge,131,54 50.873N 002 58.848W,,4,SW,Carlisle,33712 55078,DLT,DLT
Duntulm N,DMN,C,Spot Height 384ft,384,57 42.072N 006 20.674W,,40,WSW,Ullapool,14126 87623,DMN,DMN
Dunbar SE,DNB,A,A1087 Rail Bridge,90,55 58.941N 002 29.048W,,29,W,Edinburgh,36989 67670,DNB,DNB
Durham Northeast,DNE,A,A1(M)/A690,98,54 47.632N 001 31.733W,,11,S,Newcastle,43039 54443,DNE,DNE
Dunning,DNG,C,Church tower,144,56 18.770N 003 35.214W,,7,SW,Perth,30193 71451,DNG,DNG
Dunoon,DNN,D,Pier sea end,49,55 56.811N 004 55.294W,,5,W,Greenock,21766 67650,DNN,DNN
Duntulm,DNT,B,A855 bend,20,57 40.918N 006 20.702W,,38,WSW,Ullapool,14109 87410,DNT,DNT
Doncaster Northwest,DNW,A,A638 bridge over A1,69,53 34.680N 001 12.749W,,5,NW,Doncaster,45224 40933,DNW,DNW
Docking,DOC,C,B1454/B1153,210,52 54.066N 000 37.195E,,28,NW,Norwich,57631 33695,DOC,DOC
Dolgellau,DOG,A,Bridge,66,52 44.660N 003 52.212W,,41,W,Shrewsbury,27385 31794,DOG,DOG
Dollar,DOL,C,A91/B913,128,56 09.727N 003 40.599W,,16,SW,Perth,29597 69787,DOL,DOL
Dorchester,DOR,A,A35 R'bout NE,279,50 43.235N 002 24.799W,,16,SSE,Yeovil,37092 09130,DOR,DOR
Doune,DOU,A,A84/River Bridge,46,56 11.206N 004 03.684W,,6,NW,Stirling,27216 70126,DOU,DOU
Dover Marina,DOV,B,A20 roundabout,10,51 07.199N 001 18.554E,,13,SE,Canterbury,63168 14084,DOV,DOV
Downham Market,DOW,C,Station,72,52 36.249N 000 21.906E,,18,E,Peterborough,56026 30333,DOW,DOW
Droma Bridge,DRB,A,A832 br over R Droma,575,57 45.162N 005 00.737W,,10,SE,Ullapool,22085 87765,DRB,DRB
Driffield,DRI,C,A166/A163 Rbt,98,54 00.534N 000 27.208W,,21,E,York,50145 45809,DRI,DRI
Darlton,DRL,D#,Hangar,155,53 14.973N 000 51.218W,118.685,11,W,Lincoln,47659 37312,DRL,DRL
Droitwich,DRO,A,M5 J5/A38,151,52 17.272N 002 07.210W,,6,NNE,Worcester,39190 26553,DRO,DRO
Denbigh Ridge S,DRS,D#,Spot Height,1352,53 03.883N 003 14.447W,,15,SW,Chester,31695 35266,DRS,DRS
